lot_id,wafer_id,device_id,test_num,test_name,test_type,result,measured_value,lower_limit,upper_limit,units,bin,test_time_ms
LOT001,W01,D0000,1,TEST_1,parametric,pass,99.27954835211035,80,120,mV,1,34.75263865322073
LOT001,W01,D0000,2,TEST_2,parametric,pass,109.1354819983424,90,130,mV,1,30.08896643339405
LOT001,W01,D0000,3,TEST_3,parametric,pass,119.36205858108556,100,140,mV,1,90.29616109343608
LOT001,W01,D0000,4,TEST_4,parametric,pass,122.51323292829521,110,150,mV,1,17.824494936647454
LOT001,W01,D0000,5,TEST_5,parametric,pass,138.915206579274,120,160,mV,1,29.6774177323243
LOT001,W01,D0000,6,TEST_6,parametric,pass,150.57942393350427,130,170,mV,1,55.481975929302614
LOT001,W01,D0000,7,TEST_7,parametric,pass,163.28318253399334,140,180,mV,1,68.48959940015709
LOT001,W01,D0000,8,TEST_8,functional,pass,,,,,1,29.839655983662702
LOT001,W01,D0000,9,TEST_9,functional,pass,,,,,1,82.84874110100439
LOT001,W01,D0000,10,TEST_10,functional,fail,,,,,4,72.83254554894042
LOT001,W01,D0001,1,TEST_1,parametric,pass,100.55253588721916,80,120,mV,1,40.62254648661927
LOT001,W01,D0001,2,TEST_2,parametric,pass,117.02448351984226,90,130,mV,1,40.29350906013641
LOT001,W01,D0001,3,TEST_3,parametric,pass,130.4034976667167,100,140,mV,1,18.347125904213314
LOT001,W01,D0001,4,TEST_4,parametric,pass,137.96078046005027,110,150,mV,1,64.3353428230202
LOT001,W01,D0001,5,TEST_5,parametric,pass,145.53657489324752,120,160,mV,1,82.64154459469422
LOT001,W01,D0001,6,TEST_6,parametric,pass,149.21279312114908,130,170,mV,1,97.58041875814335
LOT001,W01,D0001,7,TEST_7,parametric,pass,153.85195750409952,140,180,mV,1,44.068093948751816
LOT001,W01,D0001,8,TEST_8,functional,pass,,,,,1,84.64641978276954
LOT001,W01,D0001,9,TEST_9,functional,pass,,,,,1,87.55362102796995
LOT001,W01,D0001,10,TEST_10,functional,pass,,,,,1,73.41146525934312
LOT001,W01,D0002,1,TEST_1,parametric,pass,103.44807085010275,80,120,mV,1,36.04491672418965
LOT001,W01,D0002,2,TEST_2,parametric,pass,111.02115421461693,90,130,mV,1,17.181277923126473
LOT001,W01,D0002,3,TEST_3,parametric,pass,120.2489993530214,100,140,mV,1,35.01762427990829
LOT001,W01,D0002,4,TEST_4,parametric,pass,132.29383762454296,110,150,mV,1,67.21159998379602
LOT001,W01,D0002,5,TEST_5,parametric,pass,136.82426713314845,120,160,mV,1,28.855632769433893
LOT001,W01,D0002,6,TEST_6,parametric,pass,153.60982801127992,130,170,mV,1,34.0280039844202
LOT001,W01,D0002,7,TEST_7,parametric,pass,166.66092538151938,140,180,mV,1,64.82179051002893
LOT001,W01,D0002,8,TEST_8,functional,pass,,,,,1,75.62141181553143
LOT001,W01,D0002,9,TEST_9,functional,pass,,,,,1,44.1509897581883
LOT001,W01,D0002,10,TEST_10,functional,pass,,,,,1,67.59997838686836
LOT001,W01,D0003,1,TEST_1,parametric,pass,97.19940991983393,80,120,mV,1,60.12547693971816
LOT001,W01,D0003,2,TEST_2,parametric,pass,106.15838333164074,90,130,mV,1,79.83999203916203
LOT001,W01,D0003,3,TEST_3,parametric,pass,111.18125189690966,100,140,mV,1,30.614326476769392
LOT001,W01,D0003,4,TEST_4,parametric,pass,134.26490616907154,110,150,mV,1,34.09667883781324
LOT001,W01,D0003,5,TEST_5,parametric,pass,140.87205363765588,120,160,mV,1,28.988455922769383
LOT001,W01,D0003,6,TEST_6,parametric,pass,159.57288355863355,130,170,mV,1,38.32100927186301
LOT001,W01,D0003,7,TEST_7,parametric,pass,156.41084373446375,140,180,mV,1,68.9894798765392
LOT001,W01,D0003,8,TEST_8,functional,pass,,,,,1,92.30928307664891
LOT001,W01,D0003,9,TEST_9,functional,pass,,,,,1,33.83921498482472
LOT001,W01,D0003,10,TEST_10,functional,pass,,,,,1,60.52313207468357
LOT001,W01,D0004,1,TEST_1,parametric,pass,99.469981581809,80,120,mV,1,90.80405952422292
LOT001,W01,D0004,2,TEST_2,parametric,pass,116.6062896229498,90,130,mV,1,45.94604546263575
LOT001,W01,D0004,3,TEST_3,parametric,pass,123.31995124589251,100,140,mV,1,55.857366430881804
LOT001,W01,D0004,4,TEST_4,parametric,pass,147.00908567074728,110,150,mV,1,18.18184709564145
LOT001,W01,D0004,5,TEST_5,parametric,pass,142.30494087207586,120,160,mV,1,66.47014375327811
LOT001,W01,D0004,6,TEST_6,parametric,pass,150.70301528824058,130,170,mV,1,81.28714279266677
LOT001,W01,D0004,7,TEST_7,parametric,pass,158.40081599564533,140,180,mV,1,44.34573578558831
LOT001,W01,D0004,8,TEST_8,functional,pass,,,,,1,57.620291058922334
LOT001,W01,D0004,9,TEST_9,functional,pass,,,,,1,87.47017320110483
LOT001,W01,D0004,10,TEST_10,functional,fail,,,,,3,71.35393321239172
LOT001,W01,D0005,1,TEST_1,parametric,pass,100.85110377527697,80,120,mV,1,58.32732973679156
LOT001,W01,D0005,2,TEST_2,parametric,pass,109.24484724230582,90,130,mV,1,20.03969562362888
LOT001,W01,D0005,3,TEST_3,parametric,pass,127.11660513083592,100,140,mV,1,49.12887256021945
LOT001,W01,D0005,4,TEST_4,parametric,pass,118.12063713454401,110,150,mV,1,88.82676463403746
LOT001,W01,D0005,5,TEST_5,parametric,pass,143.5548210228502,120,160,mV,1,33.70501456759817
